"","Incident.Number","CalendarYear","Month","IncDate","Call_Type","Problem","ResponseArea","Jurisdiction","PriorityDescription","Council_District","Location","Date","dateDay","month","day","season","Fire_Type"
"54",22000581,2022,"Jan","01/01/2022 12:00:00 AM","Fire","BOXL- Structure Fire","00-4001","AFD","1F","7","(-97.670770,30.406651)",2022-01-01,"01-01",1,1,"Winter","BOXL"
"55",22000582,2022,"Jan","01/01/2022 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-4001","AFD","3F","7","(-97.673525,30.409127)",2022-01-01,"01-01",1,1,"Winter","GRASS"
"56",22000598,2022,"Jan","01/01/2022 12:00:00 AM","Fire","DUMP - Dumpster Fire","00-1104","AFD","3F","5","(-97.762399,30.265244)",2022-01-01,"01-01",1,1,"Winter","DUMP"
"57",22000603,2022,"Jan","01/01/2022 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-1406","AFD","3F","9","(-97.712880,30.308994)",2022-01-01,"01-01",1,1,"Winter","GRASS"
"58",22000620,2022,"Jan","01/02/2022 12:00:00 AM","Fire","ELEC - Electrical Fire","00-3801","AFD","3F","6","(-97.787813,30.443227)",2022-01-02,"01-02",1,2,"Winter","ELEC"
"59",22000647,2022,"Jan","01/02/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-0701","AFD","3F","1","(-97.719038,30.269258)",2022-01-02,"01-02",1,2,"Winter","TRASH"
"60",22000651,2022,"Jan","01/02/2022 12:00:00 AM","Fire","ELEC - Electrical Fire","00-3802","AFD","3F","6","(-97.820942,30.452116)",2022-01-02,"01-02",1,2,"Winter","ELEC"
"61",22000653,2022,"Jan","01/02/2022 12:00:00 AM","Fire","BOX -Structure Fire","00-2305","AFD","1F","4","(-97.696442,30.349147)",2022-01-02,"01-02",1,2,"Winter","BOX"
"62",22000667,2022,"Jan","01/02/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-3604","AFD","3F","5","(-97.788224,30.164157)",2022-01-02,"01-02",1,2,"Winter","TRASH"
"63",22000699,2022,"Jan","01/02/2022 12:00:00 AM","Fire","BOX -Structure Fire","00-3102","AFD","1F","10","(-97.798841,30.384608)",2022-01-02,"01-02",1,2,"Winter","BOX"
"64",22000712,2022,"Jan","01/02/2022 12:00:00 AM","Fire","BRSHL - Brush Alarm / Light","00-3102","AFD","2F","10","(-97.798591,30.383782)",2022-01-02,"01-02",1,2,"Winter","BRSHL"
"65",22000717,2022,"Jan","01/02/2022 12:00:00 AM","Fire","DUMP - Dumpster Fire","00-0807","AFD","3F","7","(-97.732709,30.393224)",2022-01-02,"01-02",1,2,"Winter","DUMP"
"66",22000720,2022,"Jan","01/02/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-1803","AFD","3F","1","(-97.689057,30.321010)",2022-01-02,"01-02",1,2,"Winter","TRASH"
"67",22000729,2022,"Jan","01/02/2022 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-4301","AFD","3F","8","(-97.881673,30.192294)",2022-01-02,"01-02",1,2,"Winter","GRASS"
"68",22000732,2022,"Jan","01/02/2022 12:00:00 AM","Fire","ELEC - Electrical Fire","00-3404","AFD","3F","6","(-97.785319,30.475420)",2022-01-02,"01-02",1,2,"Winter","ELEC"
"69",22000748,2022,"Jan","01/02/2022 12:00:00 AM","Fire","ELEC - Electrical Fire","04-4801","AFD","3F","-","(-97.586001,30.248653)",2022-01-02,"01-02",1,2,"Winter","ELEC"
"70",22000749,2022,"Jan","01/02/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-1707","AFD","3F","3","(-97.762314,30.222079)",2022-01-02,"01-02",1,2,"Winter","TRASH"
"71",22000754,2022,"Jan","01/02/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-0601","AFD","3F","9","(-97.743518,30.243165)",2022-01-02,"01-02",1,2,"Winter","TRASH"
"72",22000758,2022,"Jan","01/02/2022 12:00:00 AM","Fire","ELEC - Electrical Fire","00-4001","AFD","3F","7","(-97.642155,30.406236)",2022-01-02,"01-02",1,2,"Winter","ELEC"
"73",22000799,2022,"Jan","01/02/2022 12:00:00 AM","Fire","BOX -Structure Fire","00-0201","AFD","1F","9","(-97.751851,30.285251)",2022-01-02,"01-02",1,2,"Winter","BOX"
"74",22000806,2022,"Jan","01/02/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-1705","AFD","3F","5","(-97.791512,30.231994)",2022-01-02,"01-02",1,2,"Winter","TRASH"
"75",22000815,2022,"Jan","01/02/2022 12:00:00 AM","Fire","ELEC - Electrical Fire","00-2205","AFD","3F","3","(-97.694617,30.237005)",2022-01-02,"01-02",1,2,"Winter","ELEC"
"76",22000826,2022,"Jan","01/02/2022 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-3703","AFD","3F","8","(-97.901222,30.254069)",2022-01-02,"01-02",1,2,"Winter","GRASS"
"77",22000837,2022,"Jan","01/02/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-0802","AFD","3F","4","(-97.699868,30.364484)",2022-01-02,"01-02",1,2,"Winter","TRASH"
"78",22000844,2022,"Jan","01/02/2022 12:00:00 AM","Fire","BOXS - Still Box Alarm","00-4001","AFD","1F","7","(-97.651433,30.389071)",2022-01-02,"01-02",1,2,"Winter","BOXS"
"79",22000870,2022,"Jan","01/02/2022 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-0020","AFD","3F","10","(-97.864938,30.351962)",2022-01-02,"01-02",1,2,"Winter","GRASS"
"80",22000892,2022,"Jan","01/02/2022 12:00:00 AM","Fire","BOXS - Still Box Alarm","00-4001","AFD","1F","7","(-97.642155,30.406236)",2022-01-02,"01-02",1,2,"Winter","BOXS"
"81",22000924,2022,"Jan","01/02/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-2202","AFD","3F","3","(-97.713664,30.249113)",2022-01-02,"01-02",1,2,"Winter","TRASH"
"82",22000930,2022,"Jan","01/02/2022 12:00:00 AM","Fire","AUTO - Auto Fire","00-3404","AFD","2F","6","(-97.800681,30.476547)",2022-01-02,"01-02",1,2,"Winter","AUTO"
"83",22000934,2022,"Jan","01/02/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-1801","AFD","3F","1","(-97.688847,30.320868)",2022-01-02,"01-02",1,2,"Winter","TRASH"
"84",22000966,2022,"Jan","01/02/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-0601","AFD","3F","9","(-97.747785,30.241518)",2022-01-02,"01-02",1,2,"Winter","TRASH"
"85",22000969,2022,"Jan","01/02/2022 12:00:00 AM","Fire","BOXS - Still Box Alarm","00-3403","AFD","1F","6","(-97.809452,30.467244)",2022-01-02,"01-02",1,2,"Winter","BOXS"
"86",22000977,2022,"Jan","01/02/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-4006","AFD","3F","7","(-97.670821,30.428456)",2022-01-02,"01-02",1,2,"Winter","TRASH"
"87",22001005,2022,"Jan","01/02/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-2807","AFD","3F","6","(-97.731937,30.437323)",2022-01-02,"01-02",1,2,"Winter","TRASH"
"88",22001028,2022,"Jan","01/02/2022 12:00:00 AM","Fire","BOX -Structure Fire","00-1001","AFD","1F","10","(-97.762989,30.291350)",2022-01-02,"01-02",1,2,"Winter","BOX"
"89",22001058,2022,"Jan","01/02/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-0807","AFD","3F","7","(-97.745363,30.400289)",2022-01-02,"01-02",1,2,"Winter","TRASH"
"90",22001065,2022,"Jan","01/02/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-3604","AFD","3F","5","(-97.788224,30.164157)",2022-01-02,"01-02",1,2,"Winter","TRASH"
"91",22001079,2022,"Jan","01/02/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-2401","AFD","3F","2","(-97.743702,30.176123)",2022-01-02,"01-02",1,2,"Winter","TRASH"
"92",22001084,2022,"Jan","01/02/2022 12:00:00 AM","Fire","BOXS - Still Box Alarm","00-1101","AFD","1F","5","(-97.773710,30.248166)",2022-01-02,"01-02",1,2,"Winter","BOXS"
"93",22001087,2022,"Jan","01/02/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-0603","AFD","3F","9","(-97.757724,30.241784)",2022-01-02,"01-02",1,2,"Winter","TRASH"
"94",22001094,2022,"Jan","01/02/2022 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-4703","AFD","3F","10","(-97.840475,30.335480)",2022-01-02,"01-02",1,2,"Winter","GRASS"
"95",22001116,2022,"Jan","01/02/2022 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-4901","AFD","3F","5","(-97.792996,30.148932)",2022-01-02,"01-02",1,2,"Winter","GRASS"
"96",22001125,2022,"Jan","01/03/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-5106","AFD","3F","5","(-97.792893,30.231723)",2022-01-03,"01-03",1,3,"Winter","TRASH"
"97",22001153,2022,"Jan","01/03/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-3607","AFD","3F","2","(-97.771743,30.190894)",2022-01-03,"01-03",1,3,"Winter","TRASH"
"98",22001159,2022,"Jan","01/03/2022 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-4904","AFD","3F","5","(-97.796756,30.137873)",2022-01-03,"01-03",1,3,"Winter","GRASS"
"99",22001193,2022,"Jan","01/03/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-2902","AFD","3F","5","(-97.832352,30.192092)",2022-01-03,"01-03",1,3,"Winter","TRASH"
"100",22001205,2022,"Jan","01/03/2022 12:00:00 AM","Fire","BOXL- Structure Fire","00-5106","AFD","1F","5","(-97.795518,30.230068)",2022-01-03,"01-03",1,3,"Winter","BOXL"
"101",22001212,2022,"Jan","01/03/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-4902","AFD","3F","5","(-97.788953,30.160444)",2022-01-03,"01-03",1,3,"Winter","TRASH"
"102",22001213,2022,"Jan","01/03/2022 12:00:00 AM","Fire","BOXL- Structure Fire","00-3904","AFD","1F","6","(-97.862570,30.366938)",2022-01-03,"01-03",1,3,"Winter","BOXL"
"103",22001282,2022,"Jan","01/03/2022 12:00:00 AM","Fire","BOXS - Still Box Alarm","00-2503","AFD","1F","10","(-97.748314,30.394168)",2022-01-03,"01-03",1,3,"Winter","BOXS"
"104",22001296,2022,"Jan","01/03/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-3102","AFD","3F","10","(-97.798841,30.384608)",2022-01-03,"01-03",1,3,"Winter","TRASH"
"105",22001317,2022,"Jan","01/03/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-3611","AFD","3F","2","(-97.767899,30.189208)",2022-01-03,"01-03",1,3,"Winter","TRASH"
"106",22001331,2022,"Jan","01/03/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-2403","AFD","3F","2","(-97.746447,30.179295)",2022-01-03,"01-03",1,3,"Winter","TRASH"
"107",22001411,2022,"Jan","01/03/2022 12:00:00 AM","Fire","AUTO - Auto Fire","00-3501","AFD","2F","2","(-97.720156,30.211361)",2022-01-03,"01-03",1,3,"Winter","AUTO"
"108",22001436,2022,"Jan","01/03/2022 12:00:00 AM","Fire","BOXS - Still Box Alarm","00-2101","AFD","1F","10","(-97.755579,30.356287)",2022-01-03,"01-03",1,3,"Winter","BOXS"
"109",22001467,2022,"Jan","01/03/2022 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-2801","AFD","3F","7","(-97.672617,30.423037)",2022-01-03,"01-03",1,3,"Winter","GRASS"
"110",22001491,2022,"Jan","01/03/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-0401","AFD","3F","9","(-97.749911,30.276411)",2022-01-03,"01-03",1,3,"Winter","TRASH"
"111",22001531,2022,"Jan","01/03/2022 12:00:00 AM","Fire","BOXS - Still Box Alarm","00-2102","AFD","1F","10","(-97.764292,30.366280)",2022-01-03,"01-03",1,3,"Winter","BOXS"
"112",22001535,2022,"Jan","01/03/2022 12:00:00 AM","Fire","ELEC - Electrical Fire","00-0901","AFD","3F","9","(-97.733383,30.304541)",2022-01-03,"01-03",1,3,"Winter","ELEC"
"113",22001549,2022,"Jan","01/03/2022 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-1504","AFD","3F","3","(-97.711554,30.264193)",2022-01-03,"01-03",1,3,"Winter","GRASS"
"114",22001557,2022,"Jan","01/03/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-1707","AFD","3F","3","(-97.753913,30.217865)",2022-01-03,"01-03",1,3,"Winter","TRASH"
"115",22001560,2022,"Jan","01/03/2022 12:00:00 AM","Fire","BOXS - Still Box Alarm","04-4801","AFD","1F","-","(-97.572826,30.238514)",2022-01-03,"01-03",1,3,"Winter","BOXS"
"116",22001570,2022,"Jan","01/03/2022 12:00:00 AM","Fire","BOXS - Still Box Alarm","00-4001","AFD","1F","7","(-97.663633,30.409145)",2022-01-03,"01-03",1,3,"Winter","BOXS"
"117",22001574,2022,"Jan","01/03/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-1504","AFD","3F","1","(-97.713123,30.267220)",2022-01-03,"01-03",1,3,"Winter","TRASH"
"118",22001576,2022,"Jan","01/03/2022 12:00:00 AM","Fire","ELEC - Electrical Fire","00-2005","AFD","3F","2","(-97.800239,30.200979)",2022-01-03,"01-03",1,3,"Winter","ELEC"
"119",22001611,2022,"Jan","01/03/2022 12:00:00 AM","Fire","ELEC - Electrical Fire","00-1606","AFD","3F","7","(-97.740252,30.344652)",2022-01-03,"01-03",1,3,"Winter","ELEC"
"120",22001624,2022,"Jan","01/03/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-3701","AFD","3F","8","(-97.882156,30.242064)",2022-01-03,"01-03",1,3,"Winter","TRASH"
"121",22001652,2022,"Jan","01/03/2022 12:00:00 AM","Fire","BOX -Structure Fire","00-0805","AFD","1F","7","(-97.737398,30.371433)",2022-01-03,"01-03",1,3,"Winter","BOX"
"122",22001686,2022,"Jan","01/04/2022 12:00:00 AM","Fire","DUMP - Dumpster Fire","00-0603","AFD","3F","-","(-97.759622,30.242111)",2022-01-04,"01-04",1,4,"Winter","DUMP"
"123",22001705,2022,"Jan","01/04/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-1708","AFD","3F","3","(-97.754110,30.216649)",2022-01-04,"01-04",1,4,"Winter","TRASH"
"124",22001708,2022,"Jan","01/04/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-2306","AFD","3F","4","(-97.688642,30.358292)",2022-01-04,"01-04",1,4,"Winter","TRASH"
"125",22001734,2022,"Jan","01/04/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-5103","AFD","3F","8","(-97.821844,30.235057)",2022-01-04,"01-04",1,4,"Winter","TRASH"
"126",22001863,2022,"Jan","01/04/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-0301","AFD","3F","9","(-97.725293,30.287470)",2022-01-04,"01-04",1,4,"Winter","TRASH"
"127",22001877,2022,"Jan","01/04/2022 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-4108","AFD","3F","1","(-97.577633,30.329138)",2022-01-04,"01-04",1,4,"Winter","GRASS"
"128",22001898,2022,"Jan","01/04/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-3303","AFD","3F","10","(-97.753309,30.401191)",2022-01-04,"01-04",1,4,"Winter","TRASH"
"129",22001910,2022,"Jan","01/04/2022 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-2104","AFD","3F","10","(-97.749891,30.373080)",2022-01-04,"01-04",1,4,"Winter","GRASS"
"130",22002021,2022,"Jan","01/04/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-3501","AFD","3F","2","(-97.751632,30.215077)",2022-01-04,"01-04",1,4,"Winter","TRASH"
"131",22002044,2022,"Jan","01/04/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-2301","AFD","3F","4","(-97.687501,30.357900)",2022-01-04,"01-04",1,4,"Winter","TRASH"
"132",22002049,2022,"Jan","01/04/2022 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-3001","AFD","3F","4","(-97.698294,30.365937)",2022-01-04,"01-04",1,4,"Winter","GRASS"
"133",22002063,2022,"Jan","01/04/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-2205","AFD","3F","3","(-97.687328,30.237277)",2022-01-04,"01-04",1,4,"Winter","TRASH"
"134",22002067,2022,"Jan","01/04/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-1903","AFD","3F","10","(-97.758905,30.338471)",2022-01-04,"01-04",1,4,"Winter","TRASH"
"135",22002070,2022,"Jan","01/04/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-3502","AFD","3F","3","(-97.733567,30.219249)",2022-01-04,"01-04",1,4,"Winter","TRASH"
